Question	Answer	Reference	Category	Point Value
By which gate in Jerusalem is Bethesda?	Sheep Gate	John 5:2	John's Gospel	100
On what day did Jesus heal the invalid by Bethesda?	Sabbath	John 5:16	John's Gospel	200
What reason does Jesus give for why the Jews "search the Scriptures"?	They "think that in them you have eternal life"	John 5:39	John's Gospel	300
To whom did Jesus say, 'I am the way, and the truth, and the life'?	Thomas	John 14:6	John's Gospel	400
What was the first miracle Jesus performed, as recorded in John's Gospel?	Turning water into wine	John 2:1-11	John's Gospel	500
How many times does Matthew's gospel quote "I desire mercy, and not sacrifice"?	Two times	Matthew 9:13, 12:7	Matthew's Gospel	100
Which prophet spoke: "A bruised reed he will not break, and a smoldering wick he will not quench?"	Isaiah	Matthew 12:20	Matthew's Gospel	200
What reason does Jesus give for saying "No one can serve two masters?"	"for either he will hate the one and love the other, or he will be devoted to the one and despise the other."	Matthew 6:24	Matthew's Gospel	300
How does Jesus say false prophets are recognized?	"You will recognize them by their fruits"	Matthew 7:16	Matthew's Gospel	400
Which cities does Jesus contrast with Tyre and Sidon?	Korazin and Bethsaida	Matthew 11:21	Matthew's Gospel	500
During the time of which high priest did David eat the bread of the Presence?	Abiathar	Mark 2:26	Mark's Gospel	100
When Jesus heals the man with the shriveled hand, whose gospel records that Jesus experienced anger and grief?	Mark	Mark 3:5	Mark's Gospel	200
Who did Herodias's daughter ask for as a reward for her dancing?	The head of John the Baptist	Mark 6:24-25	Mark's Gospel	300
What did the rich young ruler ask Jesus?	"what must I do to inherit eternal life?"	Mark 10:17	Mark's Gospel	400
Who did the crowd ask Pilate to release instead of Jesus?	Barabbas	Mark 15:11	Mark's Gospel	500
Who is blessed, "for theirs is the kingdom of God?"	The poor	Luke 6:20	Luke's Gospel	100
To whom did the angel Gabriel appear to announce the birth of John the Baptist?	Zechariah	Luke 1:11-13	Luke's Gospel	200
In the parable of the Good Samaritan, who was the first person to pass by the injured man?	A priest	Luke 10:31	Luke's Gospel	300
Jesus's feet were anointed with ointment contained in what kind of flask?	Alabaster	Luke 7:37	Luke's Gospel	400
Luke records Jesus saying "Your sins are forgiven" how many times?	Three times	Luke 5:20, 23, Luke 7:48	Luke's Gospel	500
When salt has lost its taste, what is it good for?	To be thrown out and trampled under people's feet	Matthew 5:13	Parables & Teachings	100
For those who relax the least of the commandments of the Law, what will they be called?	Least in the kingdom of heaven	Matthew 5:19	Parables & Teachings	200
Performing what action will make you "liable to the council?"	Whoever insults his brother	Matthew 5:22	Parables & Teachings	300
Can you make one hair white or black?	No	Matthew 5:36	Parables & Teachings	400
What does Jesus say the hypocrites do when they pray?	"they love to stand and pray in the synagogues and at the street corners, that they may be seen by others"	Matthew 6:5	Parables & Teachings	500
What is another name for Thaddaeus, one of the twelve apostles?	Judas, the son of James	Mark 3:18, Luke 6:16	People & Places	100
Through which groups of people did the centurion speak to Jesus?	The elders of the Jews and his friends	Luke 7:3, 6	People & Places	200
Near the gate of which town did Jesus raise a widow's son from the dead?	Nain	Luke 7:11	People & Places	300
Who is greater than John the Baptist?	The one who is least in the kingdom of heaven / God	Mathew 11:11, Luke 7:28	People & Places	400
Who is Herod's household manager?	Chuza	Luke 8:2	People & Places	500
